id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,code_postal,code_commune,nom_commune,code_departement,type_local,surface_reelle_bati,nombre_pieces_principales,lot1_surface_carrez
2023-000037,2023-06-01,3,Vente,591300,44000,44109,Nantes,44,Appartement,90,2,
2023-000038,2023-08-09,4,Vente,1224724,67000,67482,Strasbourg,67,Maison,218,2,207
2023-000039,2023-05-26,2,Vente,989315,35000,35238,Rennes,35,Appartement,85,2,
2023-000040,2023-02-07,4,Adjudication,1165866,69002,69382,Lyon 2e Arrondissement,69,Appartement,78,6,
2023-000041,2023-02-24,2,Vente,1518202,69002,69382,Lyon 2e Arrondissement,69,Appartement,119,5,113
2023-000042,2023-12-08,4,Vente,975183,75011,75111,Paris 11e Arrondissement,75,Appartement,87,5,82
2023-000043,2023-09-01,2,Vente,835645,31000,31555,Toulouse,31,Maison,185,4,
2023-000044,2023-06-21,2,Vente,217742,75011,75111,Paris 11e Arrondissement,75,Maison,151,6,143
2023-000045,2023-08-27,1,Vente,406560,75011,75111,Paris 11e Arrondissement,75,Maison,176,6,167
2023-000046,2023-06-30,2,Vente,821976,35000,35238,Rennes,35,Appartement,58,4,
2023-000047,2023-06-22,1,Vente,737153,69006,69386,Lyon 6e Arrondissement,69,Maison,173,4,
2023-000048,2023-01-26,4,Vente,419389,13011,13211,Marseille 11e Arrondissement,13,Appartement,53,3,
2023-000049,2023-08-29,1,Vente,102696,67000,67482,Strasbourg,67,Appartement,22,6,20
2023-000050,2023-03-20,4,Vente,458369,69002,69382,Lyon 2e Arrondissement,69,Maison,131,2,124
2023-000051,2023-02-28,4,Vente,773857,35000,35238,Rennes,35,Appartement,119,6,
2023-000052,2023-11-18,1,Vente,200124,59000,59350,Lille,59,Appartement,51,6,48
2023-000053,2023-08-08,4,Vente,301432,06000,06088,Nice,06,Maison,164,1,155
2023-000054,2023-03-20,4,Vente en l'état futur d'achèvement,447225,44000,44109,Nantes,44,Appartement,75,3,
2023-000055,2023-05-06,3,Vente,454940,67000,67482,Strasbourg,67,Maison,92,4,
2023-000056,2023-07-01,1,Vente,409425,67000,67482,Strasbourg,67,Appartement,53,3,50
2023-000057,2023-09-08,3,Vente,494312,69002,69382,Lyon 2e Arrondissement,69,Appartement,91,1,
2023-000058,2023-07-08,3,Vente,515760,59000,59350,Lille,59,Appartement,80,3,76
2023-000059,2023-04-09,4,Vente,323400,69006,69386,Lyon 6e Arrondissement,69,Maison,150,6,
2023-000060,2023-05-25,1,Adjudication,107232,06000,06088,Nice,06,Appartement,32,3,30
2023-000061,2023-10-11,1,Vente,1110516,75018,75118,Paris 18e Arrondissement,75,Dépendance,179,,170
2023-000062,2023-01-27,1,Vente,794084,33000,33063,Bordeaux,33,Maison,134,4,127
2023-000063,2023-10-16,2,Vente,352506,44000,44109,Nantes,44,Maison,147,5,139
2023-000064,2023-10-29,1,Vente,626780,13011,13211,Marseille 11e Arrondissement,13,Appartement,74,6,70
2023-000065,2023-02-11,4,Vente,0,69002,69382,Lyon 2e Arrondissement,69,Maison,110,5,
2023-000066,2023-08-21,2,Vente,327360,69002,69382,Lyon 2e Arrondissement,69,Maison,88,6,
2023-000067,2023-05-17,4,Vente,302418,31000,31555,Toulouse,31,Maison,106,3,
2023-000068,2023-05-20,3,Vente,1125768,59000,59350,Lille,59,Appartement,84,4,79
2023-000069,2023-10-22,2,Vente,837210,75001,75101,Paris 1er Arrondissement,75,Dépendance,330,,
2023-000070,2023-10-27,3,Vente,1175595,44000,44109,Nantes,44,Maison,181,4,
2023-000071,2023-12-22,3,Vente en l'état futur d'achèvement,798112,75011,75111,Paris 11e Arrondissement,75,Maison,196,1,
2023-000072,2023-09-21,4,Adjudication,202720,75011,75111,Paris 11e Arrondissement,75,Appartement,20,3,19
2023-000073,2023-03-09,2,Vente,1070641,35000,35238,Rennes,35,Maison,143,2,
2023-000074,2023-02-28,3,Vente,355132,75001,75101,Paris 1er Arrondissement,75,Maison,188,6,178
2023-000075,2023-08-30,1,Vente,509184,69006,69386,Lyon 6e Arrondissement,69,Appartement,51,2,
2023-000076,2023-09-17,4,Vente en l'état futur d'achèvement,286488,35000,35238,Rennes,35,Maison,138,5,131
2023-000077,2023-10-10,4,Vente,1151381,33000,33063,Bordeaux,33,Maison,209,5,
2023-000078,2023-08-31,2,Vente,1133095,35000,35238,Rennes,35,Maison,167,6,
2023-000079,2023-06-19,2,Vente,320760,75001,75101,Paris 1er Arrondissement,75,Dépendance,81,,
2023-000080,2023-12-21,4,Echange,463410,35000,35238,Rennes,35,Maison,171,5,162
2023-000081,2023-10-05,4,Vente,98496,44000,44109,Nantes,44,Appartement,24,1,22
2023-000082,2023-08-16,3,Vente,443333,35000,35238,Rennes,35,Appartement,41,1,
2023-000083,2023-10-17,4,Vente,664577,13011,13211,Marseille 11e Arrondissement,13,Appartement,107,2,101
2023-000084,2023-08-24,2,Vente,221260,75018,75118,Paris 18e Arrondissement,75,Appartement,52,3,
2023-000085,2023-08-06,4,Adjudication,929826,13007,13207,Marseille 7e Arrondissement,13,Maison,134,2,127
2023-000086,2023-01-12,1,Vente,1124240,06000,06088,Nice,06,Appartement,104,6,98
2023-000087,2023-05-27,2,Vente,764694,59000,59350,Lille,59,Local industriel. commercial ou assimilé,147,,139
2023-000088,2023-08-14,3,Vente,308880,44000,44109,Nantes,44,Maison,78,3,74
2023-000089,2023-07-07,3,Vente,789177,75018,75118,Paris 18e Arrondissement,75,Appartement,87,3,82
2023-000090,2023-04-26,1,Echange,675963,33000,33063,Bordeaux,33,Maison,171,3,
2023-000091,2023-07-15,2,Vente,329340,44000,44109,Nantes,44,Maison,165,3,156
2023-000092,2023-06-04,1,Vente en l'état futur d'achèvement,889072,44000,44109,Nantes,44,Local industriel. commercial ou assimilé,362,,
2023-000093,2023-10-03,2,Vente,502320,33000,33063,Bordeaux,33,Maison,104,4,98
2023-000094,2023-07-28,2,Vente,236940,44000,44109,Nantes,44,Appartement,55,4,52
2023-000095,2023-11-27,1,Adjudication,320873,75011,75111,Paris 11e Arrondissement,75,Maison,161,4,152
2023-000096,2023-01-26,2,Vente,427800,44000,44109,Nantes,44,Dépendance,200,,
2023-000097,2023-04-30,3,Vente,393638,35000,35238,Rennes,35,Appartement,62,2,58
2023-000098,2023-01-08,1,Vente,430836,75011,75111,Paris 11e Arrondissement,75,Maison,161,3,
2023-000099,2023-09-01,3,Vente,598059,13011,13211,Marseille 11e Arrondissement,13,Appartement,77,1,
2023-000100,2023-07-25,1,Vente,293854,75001,75101,Paris 1er Arrondissement,75,Appartement,74,1,
2023-000101,2023-11-21,1,Vente,810081,75018,75118,Paris 18e Arrondissement,75,Maison,219,4,208
2023-000102,2023-10-10,3,Vente en l'état futur d'achèvement,782992,75011,75111,Paris 11e Arrondissement,75,Appartement,112,4,106
2023-000103,2023-08-07,1,Vente,625650,13011,13211,Marseille 11e Arrondissement,13,Maison,150,1,
2023-000104,2023-10-12,4,Vente,246375,59000,59350,Lille,59,Appartement,27,6,25
2023-000105,2023-06-09,3,Vente,313280,59000,59350,Lille,59,Maison,160,1,152
2023-000106,2023-04-26,3,Vente,370709,13007,13207,Marseille 7e Arrondissement,13,Maison,179,6,
2023-000107,2023-06-23,1,Vente,364269,69006,69386,Lyon 6e Arrondissement,69,Maison,159,6,
2023-000108,2023-06-24,1,Vente,370880,31000,31555,Toulouse,31,Appartement,40,5,38
2023-000109,2023-12-12,1,Vente,209820,75018,75118,Paris 18e Arrondissement,75,Appartement,30,2,
2023-000110,2023-09-07,1,Vente,788394,75011,75111,Paris 11e Arrondissement,75,Appartement,87,5,
2023-000111,2023-05-11,2,Echange,559056,69006,69386,Lyon 6e Arrondissement,69,Appartement,57,5,54
2023-000112,2023-07-23,4,Vente,595120,67000,67482,Strasbourg,67,Maison,80,3,76
2023-000113,2023-07-27,1,Vente,407025,59000,59350,Lille,59,Maison,75,3,
2023-000114,2023-09-26,3,Vente,498780,75011,75111,Paris 11e Arrondissement,75,Appartement,30,2,28
2023-000115,2023-09-19,2,Vente,391272,75011,75111,Paris 11e Arrondissement,75,Maison,119,1,
2023-000116,2023-12-02,4,Vente,237510,75018,75118,Paris 18e Arrondissement,75,Appartement,29,4,27
2023-000117,2023-06-15,3,Vente,1094418,06000,06088,Nice,06,Dépendance,351,,333
2023-000118,2023-08-20,1,Vente,183359,13007,13207,Marseille 7e Arrondissement,13,Maison,79,6,75
2023-000119,2023-01-22,3,Vente,420882,31000,31555,Toulouse,31,Appartement,77,1,73
2023-000120,2023-05-07,3,Vente,1400854,75011,75111,Paris 11e Arrondissement,75,Maison,182,3,172
2023-000121,2023-11-03,2,Vente,400890,13011,13211,Marseille 11e Arrondissement,13,Maison,83,6,
2023-000122,2023-06-08,1,Vente,1883765,06000,06088,Nice,06,Local industriel. commercial ou assimilé,365,,
2023-000123,2023-03-07,2,Vente,397188,13011,13211,Marseille 11e Arrondissement,13,Maison,204,2,
2023-000124,2023-03-12,1,Vente,203830,35000,35238,Rennes,35,Maison,109,5,103
2023-000125,2023-03-20,1,Vente,276280,35000,35238,Rennes,35,Appartement,40,4,
2023-000126,2023-11-09,2,Vente,638925,44000,44109,Nantes,44,Dépendance,175,,
2023-000127,2023-04-10,4,Vente,1624972,35000,35238,Rennes,35,Local industriel. commercial ou assimilé,218,,207
2023-000128,2023-11-06,1,Echange,261220,13011,13211,Marseille 11e Arrondissement,13,Appartement,37,3,35
2023-000129,2023-03-24,4,Vente en l'état futur d'achèvement,979533,31000,31555,Toulouse,31,Maison,139,2,132
2023-000130,2023-07-11,3,Vente,796770,75001,75101,Paris 1er Arrondissement,75,Maison,130,1,123
2023-000131,2023-03-16,4,Vente,212940,67000,67482,Strasbourg,67,Maison,105,6,
2023-000132,2023-04-21,1,Vente en l'état futur d'achèvement,933336,75001,75101,Paris 1er Arrondissement,75,Maison,108,3,
2023-000133,2023-02-02,3,Vente,397018,13011,13211,Marseille 11e Arrondissement,13,Appartement,34,2,
2023-000134,2023-04-06,1,Vente,412125,06000,06088,Nice,06,Appartement,105,5,
2023-000135,2023-07-11,3,Vente,282338,33000,33063,Bordeaux,33,Maison,134,1,
2023-000136,2023-03-31,2,Vente,1503089,13007,13207,Marseille 7e Arrondissement,13,Appartement,119,2,
2023-000137,2023-04-14,4,Echange,316953,35000,35238,Rennes,35,Maison,81,5,
2023-000138,2023-01-25,4,Vente,621544,35000,35238,Rennes,35,Maison,154,4,146
2023-000139,2023-12-21,4,Vente,1058087,13011,13211,Marseille 11e Arrondissement,13,Maison,197,1,187
2023-000140,2023-02-22,4,Vente,364590,67000,67482,Strasbourg,67,Maison,90,5,
2023-000141,2023-06-30,3,Vente,648342,33000,33063,Bordeaux,33,Maison,181,4,171
2023-000142,2023-03-15,1,Vente,1287275,59000,59350,Lille,59,Dépendance,341,,
2023-000143,2023-10-18,2,Vente,221286,44000,44109,Nantes,44,Maison,78,5,74
2023-000144,2023-02-28,1,Vente,160588,13011,13211,Marseille 11e Arrondissement,13,Maison,76,5,
2023-000145,2023-11-10,4,Vente,957242,69006,69386,Lyon 6e Arrondissement,69,Maison,143,6,135
2023-000146,2023-06-13,3,Vente,975030,35000,35238,Rennes,35,Appartement,105,3,99
2023-000147,2023-03-31,3,Vente,430518,59000,59350,Lille,59,Appartement,66,1,62
2023-000148,2023-03-08,4,Vente,742938,13007,13207,Marseille 7e Arrondissement,13,Dépendance,343,,325
2023-000149,2023-03-06,2,Vente,177960,35000,35238,Rennes,35,Appartement,60,5,57
2023-000150,2023-01-29,3,Vente,504060,75018,75118,Paris 18e Arrondissement,75,Local industriel. commercial ou assimilé,93,,88
2023-000151,2023-05-26,1,Vente,241290,69002,69382,Lyon 2e Arrondissement,69,Local industriel. commercial ou assimilé,70,,66
2023-000152,2023-03-29,1,Vente,1259752,75018,75118,Paris 18e Arrondissement,75,Appartement,104,1,
2023-000153,2023-04-18,3,Vente,1357776,44000,44109,Nantes,44,Maison,216,6,
2023-000154,2023-08-21,2,Vente,112491,35000,35238,Rennes,35,Appartement,29,4,
2023-000155,2023-06-26,3,Vente,432106,75018,75118,Paris 18e Arrondissement,75,Appartement,71,1,
2023-000156,2023-07-16,3,Vente,485511,75018,75118,Paris 18e Arrondissement,75,Maison,177,3,
2023-000157,2023-09-13,3,Vente,1011909,75018,75118,Paris 18e Arrondissement,75,Appartement,59,2,
2023-000158,2023-12-01,4,Vente,1352030,69006,69386,Lyon 6e Arrondissement,69,Appartement,106,1,
2023-000159,2023-07-07,4,Vente,365800,69006,69386,Lyon 6e Arrondissement,69,Appartement,25,4,23
2023-000160,2023-11-09,3,Vente en l'état futur d'achèvement,225330,69006,69386,Lyon 6e Arrondissement,69,Appartement,35,3,33
2023-000161,2023-01-21,2,Vente,110550,69002,69382,Lyon 2e Arrondissement,69,Appartement,25,5,
2023-000162,2023-11-12,3,Vente,737592,06000,06088,Nice,06,Maison,146,4,
2023-000163,2023-08-02,3,Vente,865928,75001,75101,Paris 1er Arrondissement,75,Appartement,94,4,89
2023-000164,2023-04-27,4,Adjudication,323904,35000,35238,Rennes,35,Appartement,112,6,
2023-000165,2023-12-25,4,Vente,235620,44000,44109,Nantes,44,Appartement,34,4,32
2023-000166,2023-09-23,3,Vente,398222,59000,59350,Lille,59,Appartement,46,4,43
2023-000167,2023-07-01,3,Vente en l'état futur d'achèvement,933244,33000,33063,Bordeaux,33,Maison,137,3,130
2023-000168,2023-06-28,4,Vente,1079697,59000,59350,Lille,59,Maison,213,5,202
2023-000169,2023-03-16,3,Vente,332148,13011,13211,Marseille 11e Arrondissement,13,Dépendance,178,,169
2023-000170,2023-10-15,2,Vente,1182977,69002,69382,Lyon 2e Arrondissement,69,Appartement,109,5,
2023-000171,2023-04-30,2,Vente en l'état futur d'achèvement,137863,44000,44109,Nantes,44,Maison,83,1,
2023-000172,2023-05-28,2,Vente,785384,33000,33063,Bordeaux,33,Maison,152,1,144
2023-000173,2023-03-31,3,Vente en l'état futur d'achèvement,643456,59000,59350,Lille,59,Maison,176,2,167
2023-000174,2023-06-21,2,Vente,658672,75001,75101,Paris 1er Arrondissement,75,Appartement,56,4,53
2023-000175,2023-06-19,2,Vente,397920,33000,33063,Bordeaux,33,Appartement,40,3,
2023-000176,2023-08-07,2,Vente,556240,67000,67482,Strasbourg,67,Appartement,85,2,
2023-000177,2023-08-17,2,Vente,563454,69002,69382,Lyon 2e Arrondissement,69,Maison,138,6,
2023-000178,2023-12-18,3,Vente,1134342,75011,75111,Paris 11e Arrondissement,75,Maison,198,3,188
2023-000179,2023-08-21,2,Echange,785680,69002,69382,Lyon 2e Arrondissement,69,Appartement,115,6,109
2023-000180,2023-02-11,1,Vente,1163625,44000,44109,Nantes,44,Appartement,87,5,
2023-000181,2023-10-02,4,Vente en l'état futur d'achèvement,339120,31000,31555,Toulouse,31,Maison,108,5,
2023-000182,2023-03-09,3,Vente,1557750,31000,31555,Toulouse,31,Maison,201,4,190
2023-000183,2023-04-22,4,Vente,555682,13011,13211,Marseille 11e Arrondissement,13,Maison,218,1,
2023-000184,2023-11-25,4,Vente,833493,13011,13211,Marseille 11e Arrondissement,13,Maison,177,4,
2023-000185,2023-06-28,1,Vente en l'état futur d'achèvement,412800,44000,44109,Nantes,44,Maison,100,1,95
2023-000186,2023-09-30,2,Vente,404668,33000,33063,Bordeaux,33,Appartement,68,3,64
2023-000187,2023-12-05,1,Vente,390816,59000,59350,Lille,59,Maison,177,6,
2023-000188,2023-04-22,3,Vente,313656,75001,75101,Paris 1er Arrondissement,75,Maison,84,6,79
2023-000189,2023-06-04,2,Vente,325102,35000,35238,Rennes,35,Maison,106,6,100
2023-000190,2023-06-26,4,Vente,807445,13011,13211,Marseille 11e Arrondissement,13,Maison,167,3,
2023-000191,2023-06-03,2,Vente,750420,31000,31555,Toulouse,31,Appartement,110,5,
2023-000192,2023-08-19,3,Vente,167433,69006,69386,Lyon 6e Arrondissement,69,Appartement,67,1,
2023-000193,2023-04-07,2,Vente,449046,06000,06088,Nice,06,Appartement,117,1,111
2023-000194,2023-09-03,2,Vente,806036,59000,59350,Lille,59,Dépendance,154,,146
2023-000195,2023-11-29,4,Vente,543790,35000,35238,Rennes,35,Appartement,65,6,61
2023-000196,2023-07-31,4,Vente en l'état futur d'achèvement,344493,13007,13207,Marseille 7e Arrondissement,13,Maison,81,5,
2023-000197,2023-05-06,4,Vente,872710,69002,69382,Lyon 2e Arrondissement,69,Maison,197,4,
2023-000198,2023-10-07,1,Vente,910260,35000,35238,Rennes,35,Maison,195,6,185
2023-000199,2023-12-09,1,Vente en l'état futur d'achèvement,76140,67000,67482,Strasbourg,67,Local industriel. commercial ou assimilé,54,,
2023-000200,2023-12-08,4,Vente,1388856,33000,33063,Bordeaux,33,Appartement,98,5,
2023-000201,2023-05-27,2,Vente,300014,31000,31555,Toulouse,31,Appartement,22,2,
2023-000202,2023-07-23,2,Vente,254880,31000,31555,Toulouse,31,Maison,90,2,
2023-000203,2023-11-29,2,Vente en l'état futur d'achèvement,536445,67000,67482,Strasbourg,67,Appartement,117,1,
2023-000204,2023-10-17,4,Vente,140448,67000,67482,Strasbourg,67,Appartement,32,6,
2023-000205,2023-10-06,4,Vente,541634,75011,75111,Paris 11e Arrondissement,75,Maison,214,2,203
2023-000206,2023-07-19,1,Vente,1232400,69006,69386,Lyon 6e Arrondissement,69,Maison,208,6,197
2023-000207,2023-02-08,4,Vente,874629,13007,13207,Marseille 7e Arrondissement,13,Appartement,63,4,
2023-000208,2023-12-15,1,Echange,1092938,31000,31555,Toulouse,31,Appartement,94,2,
2023-000209,2023-03-20,3,Vente,0,75018,75118,Paris 18e Arrondissement,75,Appartement,114,3,
2023-000210,2023-10-12,1,Vente,1099560,75011,75111,Paris 11e Arrondissement,75,Appartement,85,5,80
2023-000211,2023-05-30,2,Vente,1197350,35000,35238,Rennes,35,Maison,175,2,166
2023-000212,2023-09-10,4,Vente,168418,75018,75118,Paris 18e Arrondissement,75,Maison,107,3,101
2023-000213,2023-11-17,4,Vente,0,13007,13207,Marseille 7e Arrondissement,13,Maison,196,5,186
2023-000214,2023-11-30,2,Vente,590592,13007,13207,Marseille 7e Arrondissement,13,Appartement,96,6,
2023-000215,2023-05-30,4,Echange,1471855,75018,75118,Paris 18e Arrondissement,75,Dépendance,385,,
2023-000216,2023-04-03,2,Vente,1920014,06000,06088,Nice,06,Dépendance,379,,
2023-000217,2023-07-29,1,Vente en l'état futur d'achèvement,627642,69006,69386,Lyon 6e Arrondissement,69,Maison,197,4,
2023-000218,2023-09-17,1,Vente,1166940,06000,06088,Nice,06,Appartement,108,3,
2023-000219,2023-11-28,3,Vente,609687,69002,69382,Lyon 2e Arrondissement,69,Maison,81,1,
2023-000220,2023-10-22,2,Vente,556704,59000,59350,Lille,59,Appartement,48,6,
2023-000221,2023-02-13,4,Vente,313335,75001,75101,Paris 1er Arrondissement,75,Maison,99,3,
2023-000222,2023-06-03,2,Vente,202095,59000,59350,Lille,59,Maison,81,1,76
2023-000223,2023-03-23,4,Vente,1127434,59000,59350,Lille,59,Maison,154,6,
2023-000224,2023-10-31,1,Vente,0,59000,59350,Lille,59,Maison,179,3,170
2023-000225,2023-06-16,4,Vente en l'état futur d'achèvement,937800,35000,35238,Rennes,35,Maison,120,3,114
2023-000226,2023-08-23,2,Vente,603288,06000,06088,Nice,06,Maison,114,6,
2023-000227,2023-12-22,2,Vente,630064,69002,69382,Lyon 2e Arrondissement,69,Maison,106,6,100
2023-000228,2023-08-19,4,Vente,391428,33000,33063,Bordeaux,33,Maison,83,2,78
2023-000229,2023-09-09,1,Vente,810592,31000,31555,Toulouse,31,Appartement,73,3,
2023-000230,2023-10-17,3,Vente,1387245,31000,31555,Toulouse,31,Appartement,115,1,109
2023-000231,2023-01-22,3,Adjudication,670995,67000,67482,Strasbourg,67,Appartement,117,2,111
2023-000232,2023-02-14,3,Vente,337610,75001,75101,Paris 1er Arrondissement,75,Maison,182,6,172
2023-000233,2023-03-13,3,Vente,461038,06000,06088,Nice,06,Maison,122,2,115
2023-000234,2023-09-21,3,Vente,256620,69006,69386,Lyon 6e Arrondissement,69,Maison,94,1,89
2023-000235,2023-03-16,4,Vente,542336,75018,75118,Paris 18e Arrondissement,75,Maison,152,3,
2023-000236,2023-02-17,4,Vente,440768,75011,75111,Paris 11e Arrondissement,75,Appartement,71,4,
2023-000237,2023-02-17,2,Vente en l'état futur d'achèvement,1106157,75001,75101,Paris 1er Arrondissement,75,Appartement,113,4,107
2023-000238,2023-05-26,1,Vente,432120,67000,67482,Strasbourg,67,Maison,156,3,
2023-000239,2023-03-05,3,Vente,222000,44000,44109,Nantes,44,Appartement,40,2,
2023-000240,2023-02-12,2,Vente,664455,69006,69386,Lyon 6e Arrondissement,69,Maison,165,6,
2023-000241,2023-09-02,1,Vente,254985,75011,75111,Paris 11e Arrondissement,75,Maison,89,3,84
2023-000242,2023-04-28,3,Vente,242604,13011,13211,Marseille 11e Arrondissement,13,Appartement,69,3,65
2023-000243,2023-03-10,2,Vente,740826,75018,75118,Paris 18e Arrondissement,75,Appartement,102,3,96
2023-000244,2023-08-15,4,Vente en l'état futur d'achèvement,206142,75018,75118,Paris 18e Arrondissement,75,Appartement,47,1,
2023-000245,2023-05-22,1,Vente,245154,13011,13211,Marseille 11e Arrondissement,13,Maison,91,6,86
2023-000246,2023-11-07,2,Vente en l'état futur d'achèvement,643800,44000,44109,Nantes,44,Maison,200,1,
2023-000247,2023-02-06,4,Vente,493464,75011,75111,Paris 11e Arrondissement,75,Appartement,87,5,
2023-000248,2023-02-07,4,Vente,84942,44000,44109,Nantes,44,Appartement,22,1,20
2023-000249,2023-08-05,1,Vente,1561643,44000,44109,Nantes,44,Appartement,109,3,103
2023-000250,2023-06-17,1,Adjudication,415310,69002,69382,Lyon 2e Arrondissement,69,Maison,170,2,
2023-000251,2023-01-29,3,Vente,427101,13011,13211,Marseille 11e Arrondissement,13,Appartement,59,3,
2023-000252,2023-03-02,1,Vente,562860,75018,75118,Paris 18e Arrondissement,75,Appartement,118,5,
2023-000253,2023-09-19,1,Vente,202488,06000,06088,Nice,06,Appartement,66,1,
2023-000254,2023-01-07,2,Vente,204102,31000,31555,Toulouse,31,Appartement,51,2,48
2023-000255,2023-12-02,3,Vente,402303,67000,67482,Strasbourg,67,Appartement,73,1,
2023-000256,2023-09-22,3,Vente en l'état futur d'achèvement,614952,44000,44109,Nantes,44,Maison,81,3,
2023-000257,2023-05-30,2,Vente,954440,31000,31555,Toulouse,31,Maison,214,2,
2023-000258,2023-11-22,4,Vente,374112,13011,13211,Marseille 11e Arrondissement,13,Appartement,,6,0
2023-000259,2023-05-02,2,Vente,1689288,59000,59350,Lille,59,Maison,177,1,168
2023-000260,2023-08-23,4,Vente,406295,31000,31555,Toulouse,31,Appartement,115,6,
2023-000261,2023-03-08,3,Vente,420400,06000,06088,Nice,06,Appartement,50,6,
2023-000262,2023-03-11,4,Vente,760648,69006,69386,Lyon 6e Arrondissement,69,Local industriel. commercial ou assimilé,329,,
2023-000263,2023-04-17,3,Vente,514431,75011,75111,Paris 11e Arrondissement,75,Dépendance,261,,247
2023-000264,2023-06-17,1,Vente,254232,59000,59350,Lille,59,Maison,107,4,101
2023-000265,2023-07-27,2,Vente en l'état futur d'achèvement,692085,69006,69386,Lyon 6e Arrondissement,69,Maison,185,1,
2023-000266,2023-11-27,2,Vente,266910,67000,67482,Strasbourg,67,Appartement,30,1,28
2023-000267,2023-06-19,4,Vente,234219,33000,33063,Bordeaux,33,Maison,101,6,
2023-000268,2023-04-20,2,Vente,515619,13011,13211,Marseille 11e Arrondissement,13,Maison,117,1,111
2023-000269,2023-02-01,1,Vente,226796,33000,33063,Bordeaux,33,Appartement,31,2,29
2023-000270,2023-09-06,2,Vente,612416,35000,35238,Rennes,35,Appartement,64,3,
